Part Number,List Price,MAP Price,Currency,Product Type,Product Category,Product Sub Category,Product Sub Category Type,Product Model/Type,Product Friendly Name,Item Type,Short Marketing Description,Marketing Product Type,Feature Bullet 1,Feature Bullet 2,Feature Bullet 3,Feature Bullet 4,Feature Bullet 5,Image URL,Discount Group,Product Access Code,Spec Sheet URL,Status,Upcoming EOL date,TAA Compliant,GTIN
"P1080383-224","24.850000","","EUR","Accessories,RepairParts","Print Heads and Platen Rollers","Platen Rollers","Platen Bearings","","","Accessories","Kit, Bearings for the Platen Roller (Left and Right 10 of each), ZD220D&T, ZD230D&T, ZD888D&T, ZD420D&T, ZD620D&T","Accessories","Certified Zebra Accessory.","Zebra accessories are manufactured to meet all of Zebra's standards.","This genuine accessory is made to work with select Zebra Printers.","Built to ensure the highest quality, reliability, and performance.","Works with Zebra's high-end performance products.","","Z2","1-Open","","Production","","","",
"P1112640-216","24.850000","","EUR","Accessories,RepairParts","Print Heads and Platen Rollers","Platen Rollers","Thermal Transfer Platen Rollers","","","Accessories","Kit, Platen Roller 203 dpi, ZD421T","Accessories","_","","","","","","Z2","1-Open","","Production","","","663056026327",
"P1112640-061","24.850000","","EUR","Accessories,RepairParts","Print Heads and Platen Rollers","Platen Rollers","Direct Thermal Platen Rollers","","","Accessories","Kit, Platen Roller 203 dpi, ZD421D, ZD621D","Accessories","Certified Zebra Accessory.","Zebra accessories are manufactured to meet all of Zebra's standards.","This genuine accessory is made to work with select Zebra Printers.","Built to ensure the highest quality, reliability, and performance.","Works with Zebra's high-end performance products.","","Z2","1-Open","","Production","","","663056026280",
"P1112640-217","24.850000","","EUR","Accessories,RepairParts","Print Heads and Platen Rollers","Platen Rollers","Thermal Transfer Platen Rollers","","","Accessories","Kit, Platen Roller 300 dpi, ZD421T","Accessories","_","","","","","","Z2","1-Open","","Production","","","663056026334",
"P1112640-062","24.850000","","EUR","Accessories,RepairParts","Print Heads and Platen Rollers","Platen Rollers","Direct Thermal Platen Rollers","","","Accessories","Kit, Platen Roller 300 dpi, ZD421D, ZD621D","Accessories","Certified Zebra Accessory.","Zebra accessories are manufactured to meet all of Zebra's standards.","This genuine accessory is made to work with select Zebra Printers.","Built to ensure the highest quality, reliability, and performance.","Works with Zebra's high-end performance products.","","Z2","1-Open","","Production","","","663056026297",
