Part Number,List Price,MAP Price,Currency,Product Type,Product Category,Product Sub Category,Product Sub Category Type,Product Model/Type,Product Friendly Name,Item Type,Short Marketing Description,Marketing Product Type,Feature Bullet 1,Feature Bullet 2,Feature Bullet 3,Feature Bullet 4,Feature Bullet 5,Image URL,Discount Group,Product Access Code,Spec Sheet URL,Status,Upcoming EOL date,TAA Compliant,GTIN
"P1004238","1102.710000","","EUR","Accessories,RepairParts","Print Heads and Platen Rollers","Print Heads","Thermal Transfer Print Heads","","","Accessories","Kit Printhead 203dpi 220Xi4","Accessories","Certified Zebra Accessory.","Zebra accessories are manufactured to meet all of Zebra's standards.","This genuine accessory is made to work with select Zebra Printers.","Built to ensure the highest quality, reliability, and performance.","Works with Zebra's high-end performance products.","","Z2","1-Open","","Production","","","663056024996",
"P1083320-010","718.040000","","EUR","Accessories,RepairParts","Print Heads and Platen Rollers","Print Heads","Thermal Transfer Print Heads","","","Accessories","Kit Printhead 203 dpi ZT610, ZT610R","Accessories","Certified Zebra Accessory.","Zebra accessories are manufactured to meet all of Zebra's standards.","This genuine accessory is made to work with select Zebra Printers.","Built to ensure the highest quality, reliability, and performance.","Works with Zebra's high-end performance products.","","Z2","1-Open","","Production","","","663056006718",
"P1112640-241","330.960000","","EUR","Accessories,RepairParts","Print Heads and Platen Rollers","Print Heads","Thermal Transfer Print Heads","","","Accessories","Kit, Printhead 300 dpi, ZD621T","Accessories","_","","","","","","Z2","1-Open","","Production","","","663056026419",
"P1083320-015","890.660000","","EUR","Accessories,RepairParts","Print Heads and Platen Rollers","Print Heads","Thermal Transfer Print Heads","","","Accessories","Kit Printhead 203 dpi ZT620, ZT620R","Accessories","Certified Zebra Accessory.","Zebra accessories are manufactured to meet all of Zebra's standards.","This genuine accessory is made to work with select Zebra Printers.","Built to ensure the highest quality, reliability, and performance.","Works with Zebra's high-end performance products.","","Z2","1-Open","","Production","","","663056006749",
"P1112640-219","330.960000","","EUR","Accessories,RepairParts","Print Heads and Platen Rollers","Print Heads","Thermal Transfer Print Heads","","","Accessories","Kit, Printhead 300 dpi, ZD421T","Accessories","_","","","","","","Z2","1-Open","","Production","","","663056015161",
"P1004239","1159.470000","","EUR","Accessories,RepairParts","Print Heads and Platen Rollers","Print Heads","Thermal Transfer Print Heads","","","Accessories","Kit Printhead 300dpi 220Xi4","Accessories","Certified Zebra Accessory.","Zebra accessories are manufactured to meet all of Zebra's standards.","This genuine accessory is made to work with select Zebra Printers.","Built to ensure the highest quality, reliability, and performance.","Works with Zebra's high-end performance products.","","Z2","1-Open","","Production","","","663056025009",
"P1083347-006","704.230000","","EUR","Accessories,RepairParts","Print Heads and Platen Rollers","Print Heads","Thermal Transfer Print Heads","","","Accessories","Kit Printhead 300 dpi ZT510","Accessories","Certified Zebra Accessory.","Zebra accessories are manufactured to meet all of Zebra's standards.","This genuine accessory is made to work with select Zebra Printers.","Built to ensure the highest quality, reliability, and performance.","Works with Zebra's high-end performance products.","","Z2","1-Open","","Production","","","663056006770",
"P1105147-300","780.170000","","EUR","Accessories,RepairParts","Print Heads and Platen Rollers","Print Heads","Thermal Transfer Print Heads","","","Accessories","Kit, 203dpi Printhead for On-Metal RFID, ZT411","Accessories","_","","","","","","Z2","1-Open","","Production","","","663056026181",
"P1117258-232","126.810000","","EUR","Accessories,RepairParts","Print Heads and Platen Rollers","Print Heads","Thermal Transfer Print Heads","","","Accessories","Kit, Printhead, 203dpi, ZD411T, ZD611T","Accessories","_","","","","","https://www.zebra.com/content/dam/zebra_dam/global/photography/product/0017/p117258-232-photography-product-accessories-printers.png","Z2","1-Open","","Production","","","663056026662",
"P1115688","1565.880000","","EUR","Accessories","Print Heads and Platen Rollers","Print Heads","Thermal Transfer Print Heads","","","Accessories","Kit, 203 dpi Printhead, Qty of 10, ZD220/ZD230/ZD888 TT","Accessories","_","","","","","","Z2","1-Open","","Production","","","663056026471",
